Date,Continent,Country,Category,Sub_Category,Sales,Profit,Quantity
2015-01-01,North America,United States,Electronics,Phones,37004,3700,247
2015-01-01,North America,United States,Electronics,Computers,21720,3258,109
2015-01-01,North America,United States,Clothing,Apparel,21392,6418,475
2015-01-01,North America,United States,Clothing,Accessories,9069,1814,302
2015-01-01,North America,United States,Furniture,Home,17595,3167,70
2015-01-01,North America,United States,Furniture,Office,11596,2551,39
2015-01-01,North America,Canada,Electronics,Phones,12941,1294,86
2015-01-01,North America,Canada,Electronics,Computers,7339,1101,37
2015-01-01,North America,Canada,Clothing,Apparel,7718,2315,172
2015-01-01,North America,Canada,Clothing,Accessories,3044,609,101
2015-01-01,North America,Canada,Furniture,Home,5436,978,22
2015-01-01,North America,Canada,Furniture,Office,3844,846,13
2015-01-01,South America,Brazil,Electronics,Phones,9560,956,64
2015-01-01,South America,Brazil,Electronics,Computers,6616,992,33
2015-01-01,South America,Brazil,Clothing,Apparel,6921,2076,154
2015-01-01,South America,Brazil,Clothing,Accessories,2906,581,97
2015-01-01,South America,Brazil,Furniture,Home,4532,816,18
2015-01-01,South America,Brazil,Furniture,Office,3257,717,11
2015-01-01,Europe,United Kingdom,Electronics,Phones,22937,2294,153
2015-01-01,Europe,United Kingdom,Electronics,Computers,12979,1947,65
2015-01-01,Europe,United Kingdom,Clothing,Apparel,14856,4457,330
2015-01-01,Europe,United Kingdom,Clothing,Accessories,6238,1248,208
2015-01-01,Europe,United Kingdom,Furniture,Home,9293,1673,37
2015-01-01,Europe,United Kingdom,Furniture,Office,5959,1311,20
2015-01-01,Europe,Germany,Electronics,Phones,19384,1938,129
2015-01-01,Europe,Germany,Electronics,Computers,11453,1718,57
2015-01-01,Europe,Germany,Clothing,Apparel,10288,3086,229
2015-01-01,Europe,Germany,Clothing,Accessories,4413,883,147
2015-01-01,Europe,Germany,Furniture,Home,9240,1663,37
2015-01-01,Europe,Germany,Furniture,Office,5879,1293,20
2015-01-01,Europe,France,Electronics,Phones,16813,1681,112
2015-01-01,Europe,France,Electronics,Computers,11045,1657,55
2015-01-01,Europe,France,Clothing,Apparel,12409,3723,276
2015-01-01,Europe,France,Clothing,Accessories,5780,1156,193
2015-01-01,Europe,France,Furniture,Home,7962,1433,32
2015-01-01,Europe,France,Furniture,Office,5497,1209,18
2015-01-01,Asia,Japan,Electronics,Phones,26604,2660,177
2015-01-01,Asia,Japan,Electronics,Computers,17034,2555,85
2015-01-01,Asia,Japan,Clothing,Apparel,16814,5044,374
2015-01-01,Asia,Japan,Clothing,Accessories,6824,1365,227
2015-01-01,Asia,Japan,Furniture,Home,10992,1979,44
2015-01-01,Asia,Japan,Furniture,Office,6401,1408,21
2015-01-01,Asia,China,Electronics,Phones,27233,2723,182
2015-01-01,Asia,China,Electronics,Computers,18391,2759,92
2015-01-01,Asia,China,Clothing,Apparel,16414,4924,365
2015-01-01,Asia,China,Clothing,Accessories,7270,1454,242
2015-01-01,Asia,China,Furniture,Home,12367,2226,49
2015-01-01,Asia,China,Furniture,Office,8562,1884,29
2015-01-01,Asia,India,Electronics,Phones,8874,887,59
